,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
1861,3000000,10,10,71,64,620,880,2,0.7,20,92,112,58,9,8,240,8,2,0,0.8999999999999999,0,1,0.8999999999999999
1862,1200000,15,15,74,122,700,760,2,0.5,60,26,26,74,14,9,200,1,2,1,0.7999999999999999,0,1,0.6
1863,1800000,20,20,25,97,320,520,2,0.7999999999999999,60,90,26,124,11,17,180,6,1,1,0.8999999999999999,1,1,0.6
1864,2400000,30,30,116,109,460,100,5,0.5,10,39,128,68,13,16,80,10,3,1,0.7999999999999999,0,0,0.7
1865,1200000,10,10,52,76,230,540,5,0.8999999999999999,16,97,110,116,9,9,80,8,2,1,0.8999999999999999,1,0,1.0
1866,3000000,10,10,33,76,830,1000,4,0.5,18,111,106,102,8,15,320,7,7,1,0.6,0,1,0.7
1867,1800000,20,20,99,118,910,350,3,0.5,12,70,36,62,13,16,320,8,1,1,1.0,0,0,0.8999999999999999
1868,1800000,20,20,95,104,650,960,2,0.7,16,73,58,118,12,10,80,1,1,0,0.5,1,1,0.8999999999999999
1869,2400000,30,30,24,24,800,780,4,0.7,46,24,70,96,8,15,40,8,8,0,0.7,1,1,0.5
1870,1800000,10,10,41,35,900,110,2,0.7999999999999999,62,77,26,116,14,10,140,9,3,1,0.8999999999999999,0,1,0.8999999999999999
1871,1200000,10,10,28,126,530,990,3,1.0,50,80,116,32,10,17,400,5,2,0,0.7999999999999999,0,0,0.8999999999999999
1872,1800000,10,10,25,74,260,490,5,0.8999999999999999,34,110,88,60,12,12,280,2,6,0,0.7999999999999999,1,0,0.7999999999999999
1873,2400000,10,10,83,106,140,230,2,0.6,36,52,68,46,9,8,440,1,4,0,0.5,1,1,0.5
1874,2400000,30,30,126,124,590,400,1,1.0,8,54,120,84,12,9,120,2,8,0,0.7999999999999999,1,0,0.7
1875,3000000,30,30,126,96,500,190,5,0.7,28,62,72,116,10,11,440,6,8,0,0.7999999999999999,1,0,0.8999999999999999
1876,1800000,20,20,126,51,780,830,5,0.7999999999999999,30,77,30,86,9,11,480,3,3,1,0.7999999999999999,1,1,0.8999999999999999
1877,2400000,30,30,39,94,550,400,2,0.8999999999999999,30,99,120,106,8,18,120,3,8,0,0.6,0,0,0.7999999999999999
1878,3000000,20,20,61,74,720,870,1,0.7,14,120,78,124,13,13,120,9,2,1,0.7,0,0,0.8999999999999999
1879,1200000,20,20,35,74,200,410,3,0.6,26,62,82,86,9,16,20,6,4,0,0.7999999999999999,1,0,0.7999999999999999
1880,1800000,20,20,73,84,670,600,1,0.7,22,50,120,24,10,12,440,9,6,1,0.5,1,0,1.0
1881,3000000,30,30,96,48,650,670,3,0.5,10,40,62,54,10,13,220,5,7,0,0.5,1,0,0.7999999999999999
